sheet,cell,value,data_type,number_format,is_formula
TABLA DE ACCESORIOS DESCARGA,AB30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG30,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ30,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B31,21,n,0,False
TABLA DE ACCESORIOS DESCARGA,F31,15,n,0,False
TABLA DE ACCESORIOS DESCARGA,H31,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K31,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,N31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG31,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ31,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B32,22,n,0,False
TABLA DE ACCESORIOS DESCARGA,F32,60,n,0,False
TABLA DE ACCESORIOS DESCARGA,H32,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K32,5,n,General,False
TABLA DE ACCESORIOS DESCARGA,N32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG32,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ32,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B33,23,n,0,False
TABLA DE ACCESORIOS DESCARGA,F33,0.24,n,0.00,False
TABLA DE ACCESORIOS DESCARGA,H33,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K33,5,n,General,False
